"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000241180.1",0,0,0,0,0,0,0,0
"ENSG00000223764.2",30,15,49,2,36,16,55,14
"ENSG00000187634.11",148,78,119,6,123,47,66,24
"ENSG00000188976.10",1003,1145,1090,581,1154,1633,734,839
"ENSG00000187961.13",225,248,185,75,290,314,156,197
"ENSG00000187583.10",19,9,13,6,17,19,9,14
"ENSG00000187642.9",1,3,4,0,13,4,5,2
"ENSG00000272512.1",0,2,0,2,0,5,3,0
"ENSG00000188290.10",16,29,8,4,4,15,3,11
"ENSG00000187608.9",319,235,215,90,199,228,143,175
"ENSG00000231702.2",0,1,0,0,0,0,0,0
"ENSG00000224969.1",0,0,1,0,1,3,1,1
"ENSG00000188157.14",2360,1806,2279,984,2625,3201,1616,1470
"ENSG00000242590.1",0,0,0,0,0,0,0,0
"ENSG00000217801.9",0,4,1,0,1,2,2,2
"ENSG00000273443.1",0,0,0,0,0,1,0,0
"ENSG00000237330.2",0,0,0,0,0,0,0,0
"ENSG00000131591.17",111,114,137,64,151,199,130,122
"ENSG00000285812.1",1,3,1,3,10,3,2,2
"ENSG00000223823.1",0,0,0,0,0,0,0,0
"ENSG00000207730.3",0,0,0,0,0,0,0,0
"ENSG00000207607.3",0,0,0,0,0,0,0,0
"ENSG00000198976.1",0,0,0,0,0,0,0,0
"ENSG00000272141.1",0,1,0,0,0,0,0,0
"ENSG00000205231.1",0,0,0,0,0,0,0,0
"ENSG00000162571.13",0,0,0,0,0,0,0,0
"ENSG00000186891.13",1,0,1,0,4,7,0,0
"ENSG00000186827.10",4,0,1,0,2,1,1,2
"ENSG00000078808.16",4435,4240,5405,2961,5931,7350,4456,4720
"ENSG00000176022.5",431,387,452,245,517,779,340,314
"ENSG00000184163.3",9,9,19,8,7,17,15,17
"ENSG00000260179.1",2,5,7,2,2,3,3,2
"ENSG00000160087.20",626,617,693,386,701,851,566,574
"ENSG00000230415.1",14,7,20,2,18,23,14,15
"ENSG00000162572.20",153,119,144,66,145,160,99,94
"ENSG00000131584.18",1702,1251,1366,476,1213,944,1067,896
"ENSG00000278073.1",0,0,0,0,0,0,0,0
"ENSG00000169972.11",187,179,194,89,198,252,148,136
"ENSG00000127054.20",1133,1127,1267,666,1263,1508,907,1032
"ENSG00000283712.1",0,0,0,0,0,0,0,0
"ENSG00000240731.1",36,26,30,21,34,39,38,24
"ENSG00000224051.6",317,286,370,209,372,426,276,280
"ENSG00000169962.4",11,5,9,4,12,10,8,12
"ENSG00000107404.19",1119,1134,1094,646,1020,1288,965,1095
"ENSG00000284372.1",0,0,0,0,0,0,0,0
"ENSG00000162576.16",11139,10701,12414,7353,10451,13091,9524,10726
"ENSG00000175756.13",692,705,719,378,736,1094,575,612
"ENSG00000223663.2",0,0,1,0,1,0,1,2
"ENSG00000221978.11",4069,4490,3917,2784,4487,6076,3433,4311
"ENSG00000224870.6",226,232,318,146,263,352,132,168
"ENSG00000242485.5",529,550,659,383,633,869,502,480
"ENSG00000264293.2",0,0,0,0,0,0,0,0
"ENSG00000272455.1",52,32,57,31,63,76,53,57
"ENSG00000235098.8",29,47,36,14,17,17,25,39
"ENSG00000225905.1",0,0,2,2,1,2,4,0
"ENSG00000205116.3",1,0,2,0,3,1,0,0
"ENSG00000225285.1",3,2,1,0,1,0,1,1
"ENSG00000179403.11",179,137,123,60,79,116,151,133
"ENSG00000215915.9",24,19,22,12,25,47,21,21
"ENSG00000160072.19",372,414,354,228,332,584,270,289
"ENSG00000284740.1",6,4,3,0,8,6,7,1
"ENSG00000197785.13",410,475,404,243,487,773,347,367
"ENSG00000205090.8",58,63,79,35,68,92,58,66
"ENSG00000160075.11",1714,1722,2053,1274,2047,2674,1509,1635
"ENSG00000215014.5",11,11,22,11,16,24,18,23
"ENSG00000274481.1",0,0,0,0,0,0,0,0
"ENSG00000228594.3",157,185,114,71,59,111,78,127
"ENSG00000272106.1",74,49,69,42,85,59,80,57
"ENSG00000197530.12",1053,833,1041,390,1084,1167,861,810
"ENSG00000189409.13",277,170,237,100,349,381,256,228
"ENSG00000248333.8",1535,1452,1609,937,1531,1850,1397,1518
"ENSG00000272004.1",0,0,1,1,0,3,1,1
"ENSG00000189339.11",3583,2257,4108,1696,3410,2817,2561,2165
"ENSG00000269737.2",62,41,44,16,58,40,57,55
"ENSG00000215914.4",255,158,214,93,335,359,237,214
"ENSG00000008128.22",110,111,107,57,57,70,118,142
"ENSG00000268575.1",96,52,85,44,83,66,135,144
"ENSG00000227775.3",8,3,10,3,4,4,16,12
"ENSG00000215790.7",2160,1367,1915,876,2086,1633,1861,1456
"ENSG00000008130.15",1277,1813,1413,1419,1445,2356,1104,2475
"ENSG00000078369.17",6568,6219,8218,5132,7884,11203,5980,7053
"ENSG00000231050.1",4,0,3,4,1,4,5,0
"ENSG00000169885.9",20,21,19,11,9,15,24,20
"ENSG00000178821.12",3,5,3,1,2,4,3,2
"ENSG00000142609.18",0,0,0,1,0,1,1,0
"ENSG00000233542.1",0,0,0,0,0,0,0,0
"ENSG00000187730.8",0,0,0,0,0,0,1,0
"ENSG00000226969.1",0,0,0,0,0,0,0,0
"ENSG00000067606.16",9,10,13,8,11,10,9,8
"ENSG00000271806.1",0,0,0,0,0,0,0,0
"ENSG00000182873.5",20,17,39,12,31,42,17,20
"ENSG00000162585.16",741,706,793,383,584,830,580,524
"ENSG00000234396.3",0,1,0,1,1,1,0,0
"ENSG00000157933.9",2174,1785,2263,1273,2440,3027,2391,2227
"ENSG00000116151.13",86,74,82,41,78,119,70,52
"ENSG00000272161.1",1,1,0,0,0,0,0,0
"ENSG00000269896.2",44,28,18,16,26,37,36,21
"ENSG00000272420.1",3,2,4,4,0,0,4,3
"ENSG00000157916.19",1721,1769,1981,1308,2002,2861,1459,1702
"ENSG00000157911.10",221,158,299,121,315,328,225,156
"ENSG00000149527.17",3,2,4,3,2,3,3,4
"ENSG00000224387.1",0,0,1,0,0,0,0,0
"ENSG00000229393.1",0,0,0,1,0,1,1,0
"ENSG00000157881.13",327,332,280,150,329,451,242,269
"ENSG00000197921.5",0,0,0,0,0,0,0,0
"ENSG00000272449.2",2,2,2,1,1,0,1,0
"ENSG00000238164.6",12,4,8,4,2,9,13,4
"ENSG00000157873.17",692,496,520,205,515,497,557,476
"ENSG00000225931.3",1,1,1,0,0,2,1,0
"ENSG00000228037.1",1,2,1,0,0,2,1,2
"ENSG00000157870.15",341,406,367,230,369,475,266,316
"ENSG00000142606.15",0,1,2,0,1,0,1,0
"ENSG00000237058.1",0,0,0,0,0,0,0,0
"ENSG00000215912.12",13,3,18,4,16,10,7,2
"ENSG00000285945.1",0,0,0,0,0,0,0,0
"ENSG00000283259.1",0,0,0,0,0,0,0,0
"ENSG00000233234.1",0,0,0,0,0,0,0,0
"ENSG00000231630.1",0,0,0,0,0,0,0,0
"ENSG00000284745.1",0,0,0,0,0,0,0,0
"ENSG00000169717.6",0,0,0,0,0,0,0,0
"ENSG00000177133.10",10,14,12,2,8,5,6,8
"ENSG00000142611.16",85,58,67,24,41,49,47,43
"ENSG00000283572.1",0,0,0,0,0,0,0,0
"ENSG00000226286.1",0,0,0,0,0,0,0,0
"ENSG00000279839.1",0,0,0,0,0,0,0,0
"ENSG00000272235.1",3,2,0,1,3,1,1,0
"ENSG00000130762.14",1,0,2,0,2,1,1,0
"ENSG00000272088.1",0,0,0,0,0,0,0,0
"ENSG00000162591.15",409,256,972,499,376,649,1049,1264
"ENSG00000207776.1",0,0,0,0,0,0,0,0
"ENSG00000238260.1",9,7,9,2,11,11,10,16
"ENSG00000158109.14",1841,1559,2108,1358,2169,2358,1581,1999
"ENSG00000116213.15",317,325,322,219,368,497,207,263
"ENSG00000078900.14",2,1,3,0,0,0,1,3
"ENSG00000227589.1",0,0,0,0,0,0,0,0
"ENSG00000235131.1",0,1,0,0,0,0,0,0
"ENSG00000227372.12",919,787,1306,604,1173,1230,1042,913
"ENSG00000276189.1",0,0,0,0,0,0,0,0
"ENSG00000162592.9",2,0,4,0,1,0,2,0
"ENSG00000235169.8",28,10,25,10,15,16,29,16
"ENSG00000130764.9",762,652,834,462,763,986,604,656
"ENSG00000266075.2",3,0,1,1,0,0,3,0
"ENSG00000272153.1",14,6,15,5,18,24,12,4
"ENSG00000116198.12",516,592,571,377,769,867,482,637
"ENSG00000169598.15",94,83,99,46,93,114,74,87
"ENSG00000198912.10",340,352,415,234,372,543,279,294
"ENSG00000236423.5",9,8,8,7,16,14,10,8
"ENSG00000233304.6",0,0,0,0,0,0,0,0
"ENSG00000226374.2",0,0,0,0,0,0,0,0
"ENSG00000284668.1",0,0,0,0,0,0,0,0
"ENSG00000284703.1",0,0,1,1,1,0,2,0
"ENSG00000229280.1",0,0,0,0,0,0,0,0
"ENSG00000235054.3",0,0,0,0,0,0,0,0
"ENSG00000284694.1",0,0,0,0,0,0,0,0
"ENSG00000227169.2",0,0,0,0,0,0,0,0
"ENSG00000232596.2",0,0,0,0,0,0,0,0
"ENSG00000196581.10",0,0,0,0,0,0,0,0
"ENSG00000284739.1",0,0,0,0,0,0,0,0
"ENSG00000284674.1",0,0,0,0,0,0,0,0
"ENSG00000231510.1",0,0,0,0,0,0,0,0
"ENSG00000284616.1",0,0,0,0,0,0,0,0
"ENSG00000284692.2",0,0,0,0,0,0,0,0
"ENSG00000284666.1",0,0,0,0,0,0,0,0
"ENSG00000260972.1",0,0,0,0,0,0,0,0
"ENSG00000283356.1",0,0,0,0,0,0,0,0
"ENSG00000236948.2",0,0,0,0,0,0,0,0
"ENSG00000264341.1",0,0,0,0,0,0,0,0
"ENSG00000264101.1",0,0,0,0,0,0,0,0
"ENSG00000131697.17",281,187,207,109,225,320,224,214
"ENSG00000069424.14",175,187,220,148,194,262,181,232
"ENSG00000116254.17",9,10,16,9,4,10,6,7
"ENSG00000285629.1",1,0,0,0,0,0,0,0
"ENSG00000116251.10",5684,4879,5834,3501,5228,5719,4331,4422
"ENSG00000226944.1",2,3,3,3,6,2,5,7
"ENSG00000158286.12",66,80,163,66,106,121,65,83
"ENSG00000116237.15",2587,2389,3030,1866,2883,3853,2003,2107
"ENSG00000225077.3",2,2,1,0,2,3,2,2
"ENSG00000173673.7",0,0,0,0,0,0,0,0
"ENSG00000158292.6",934,387,843,261,854,560,857,509
"ENSG00000097021.19",503,461,663,347,568,727,518,455
"ENSG00000271746.1",0,0,0,0,0,0,0,0
"ENSG00000069812.11",5,4,4,0,2,0,5,0
"ENSG00000187017.16",1,1,1,1,1,0,0,0
"ENSG00000265392.1",0,0,0,0,0,0,0,0
"ENSG00000231868.1",1,0,0,0,0,0,0,0
"ENSG00000215788.10",27,15,33,11,50,43,54,31
"ENSG00000171680.21",136,62,170,56,273,215,206,115
"ENSG00000162408.10",380,325,374,203,344,441,287,283
"ENSG00000253022.1",0,0,0,0,0,0,0,0
"ENSG00000229519.2",0,1,0,0,2,2,4,0
"ENSG00000173662.20",4,7,9,4,8,3,2,3
"ENSG00000204859.12",207,187,272,132,228,277,176,198
"ENSG00000162413.16",2268,2257,1844,2054,2386,2826,1776,2715
"ENSG00000116273.5",641,625,613,485,667,839,624,647
"ENSG00000041988.15",196,179,242,124,222,253,202,174
"ENSG00000007923.15",574,550,725,405,852,1042,555,570
"ENSG00000228750.6",0,0,0,0,0,0,0,0
"ENSG00000284744.1",0,0,0,0,0,0,0,0
"ENSG00000237436.1",2,3,2,3,3,4,1,1
"ENSG00000171735.18",291,266,308,188,335,452,274,252
"ENSG00000227950.1",0,0,1,0,0,0,0,0
"ENSG00000237365.1",0,0,0,0,0,0,0,0
"ENSG00000207056.1",0,0,0,0,0,0,0,0
"ENSG00000237402.1",1,1,0,0,0,0,0,0
"ENSG00000237728.2",0,0,1,0,0,0,0,0
"ENSG00000225126.1",0,0,0,0,0,0,0,0
"ENSG00000270171.1",0,0,0,0,0,0,0,0
"ENSG00000270035.1",0,0,0,0,0,0,0,0
"ENSG00000269978.1",0,0,0,0,0,0,0,0
"ENSG00000049245.12",3167,2808,3839,2689,3846,4867,2826,3343
"ENSG00000269925.1",10,11,12,8,11,9,9,6
"ENSG00000049246.14",316,51,332,91,447,90,413,56
"ENSG00000236266.1",6,0,1,1,3,2,2,0
"ENSG00000049247.13",0,0,2,0,2,1,0,0
"ENSG00000049249.8",0,2,1,1,1,1,0,0
"ENSG00000270330.1",0,0,0,0,0,0,0,0
"ENSG00000116288.12",2502,2465,2578,1494,2545,3237,1899,1936
"ENSG00000200344.1",1,0,1,1,1,0,1,0
"ENSG00000284747.1",4,7,2,13,12,27,3,15
"ENSG00000284716.1",0,0,0,0,0,0,0,0
"ENSG00000116285.12",833,3134,1289,4340,1506,7805,769,5924
"ENSG00000238290.1",0,0,1,0,2,3,1,5
"ENSG00000232848.1",1,0,1,0,2,2,0,1
"ENSG00000229305.1",0,0,0,0,0,0,0,0
"ENSG00000227634.2",0,0,0,0,0,0,0,2
"ENSG00000200975.1",0,0,0,0,0,0,0,0
"ENSG00000233645.1",0,1,0,0,0,0,0,0
"ENSG00000251977.1",0,0,0,0,0,0,0,0
"ENSG00000162426.14",113,204,98,146,111,342,96,252
"ENSG00000252254.1",0,1,0,1,0,1,0,0
"ENSG00000142599.17",2663,2646,3785,1922,3029,4324,2888,3168
"ENSG00000232912.5",3,1,2,1,3,6,1,6
"ENSG00000221083.1",0,0,0,0,0,0,0,0
"ENSG00000270282.1",0,0,1,0,0,0,1,0
"ENSG00000234619.1",1,0,1,1,0,2,3,1
"ENSG00000224315.2",0,0,0,0,0,1,0,0
"ENSG00000222511.2",0,0,0,0,0,1,0,0
"ENSG00000226545.1",0,0,0,0,0,0,0,0
"ENSG00000228423.2",0,0,0,0,0,0,0,0
"ENSG00000229716.2",0,0,0,0,0,0,0,0
"ENSG00000074800.15",17069,15550,14908,7284,13030,32213,9126,10389
"ENSG00000274258.1",0,1,0,0,0,0,1,0
"ENSG00000230679.1",1,0,0,1,0,0,1,0
"ENSG00000201725.1",0,0,0,0,0,0,0,0
"ENSG00000238249.2",9,6,10,8,22,13,8,10
"ENSG00000232208.2",0,1,0,0,0,0,0,0
"ENSG00000232663.2",0,0,0,0,0,0,0,0
"ENSG00000131686.14",0,0,0,0,0,0,0,0
"ENSG00000265141.2",0,0,0,0,0,0,0,0
"ENSG00000197241.3",0,0,1,0,0,0,0,0
"ENSG00000142583.17",131,35,204,99,75,343,49,35
"ENSG00000252404.1",0,0,0,0,0,0,0,0
"ENSG00000180758.11",79,70,85,48,83,106,93,85
"ENSG00000228526.7",784,481,667,253,786,615,631,374
"ENSG00000284357.1",0,0,0,0,0,0,0,0
"ENSG00000234546.3",89,41,98,41,134,114,64,48
"ENSG00000049239.12",5731,5511,6850,5162,4823,9032,5349,7229
"ENSG00000171621.13",1044,726,673,485,900,663,654,940
"ENSG00000284652.1",4,3,3,2,1,4,0,2
"ENSG00000284693.1",51,29,84,31,53,52,34,32
"ENSG00000252956.1",0,0,0,0,0,0,0,0
"ENSG00000235263.1",0,0,0,0,0,0,0,0
"ENSG00000171612.6",77,71,53,44,71,101,52,69
"ENSG00000231181.1",2,0,1,1,0,2,1,2
"ENSG00000188807.12",144,105,135,76,142,182,137,116
"ENSG00000171608.15",267,338,352,314,367,768,281,618
"ENSG00000179840.5",0,0,0,0,0,0,0,0
"ENSG00000233268.3",0,0,0,0,0,0,0,0
"ENSG00000231789.2",42,26,56,16,61,69,27,31
"ENSG00000171603.17",5767,6131,7728,5059,7110,10889,5444,7621
"ENSG00000271264.1",0,0,0,0,0,0,0,0
"ENSG00000280113.2",0,0,1,0,0,0,0,0
"ENSG00000178585.14",239,182,231,168,251,300,231,248
"ENSG00000223989.1",0,0,0,0,0,0,0,0
"ENSG00000285701.1",0,0,0,0,1,1,0,0
"ENSG00000162441.11",456,270,439,170,496,475,369,308
"ENSG00000228150.1",0,3,6,1,4,8,5,4
"ENSG00000173614.13",351,239,373,222,369,394,295,265
"ENSG00000202415.1",0,1,1,0,0,0,1,0
"ENSG00000283611.2",0,0,0,0,0,0,0,0
"ENSG00000265521.1",0,0,0,0,0,0,0,0
"ENSG00000241326.1",0,0,0,0,0,0,0,0
"ENSG00000162444.11",0,0,3,0,2,0,0,0
"ENSG00000130939.18",2383,1696,2681,1590,2766,3055,2049,2634
"ENSG00000224340.1",0,0,0,0,0,0,0,0
"ENSG00000233623.2",0,0,0,0,0,0,0,0
"ENSG00000201746.1",0,1,0,0,0,0,0,1
"ENSG00000054523.17",1572,1499,1684,1131,1721,2091,1367,1692
"ENSG00000264881.1",0,0,0,0,0,0,0,0
"ENSG00000199562.1",0,0,0,1,0,1,0,0
"ENSG00000264501.2",0,0,0,0,0,0,0,0
"ENSG00000284735.1",2,7,0,0,1,2,4,3
"ENSG00000284642.1",2,4,2,4,5,1,2,4
"ENSG00000142657.20",3005,2900,3637,2130,4295,3538,2055,2577
"ENSG00000271989.1",0,0,0,0,0,0,0,0
"ENSG00000251503.8",2,3,2,1,1,3,2,0
"ENSG00000175279.21",17,22,34,17,16,24,22,12
"ENSG00000241563.3",2,1,1,1,9,2,1,3
"ENSG00000160049.11",950,742,948,493,1208,1314,809,764
"ENSG00000203469.2",0,0,0,0,0,0,0,0
"ENSG00000142655.12",341,295,389,192,369,501,254,284
"ENSG00000243267.3",0,0,0,0,0,1,0,1
"ENSG00000130940.14",0,1,7,3,15,15,4,3
"ENSG00000272078.1",0,0,0,0,5,3,0,1
"ENSG00000225158.2",0,0,0,0,0,0,0,0
"ENSG00000175262.14",0,0,4,1,0,0,1,0
"ENSG00000215785.2",0,0,1,0,0,0,0,0
"ENSG00000120948.17",1627,1300,1959,1008,2122,2220,1325,1145
"ENSG00000277726.4",0,1,0,1,1,1,1,0
"ENSG00000009724.16",36,28,58,22,39,38,47,33
"ENSG00000271895.2",33,31,40,24,36,26,27,22
"ENSG00000116649.9",1004,1255,1122,1313,1100,1879,745,1536
"ENSG00000171824.13",1062,1293,1360,1286,1201,1725,919,1940
"ENSG00000226849.1",2,1,2,1,2,7,1,4
"ENSG00000230337.1",2,0,6,7,1,7,1,6
"ENSG00000198793.12",1592,1753,1786,2013,2150,3355,1264,2571
"ENSG00000225602.5",1,0,0,1,0,0,0,0
"ENSG00000253086.1",1,0,0,0,0,0,0,0
"ENSG00000171819.4",4,50,19,543,1,10,14,1067
"ENSG00000207451.1",0,0,0,1,0,0,0,0
"ENSG00000238173.1",0,0,0,0,0,0,0,0
"ENSG00000120942.13",218,258,234,252,269,465,207,400
"ENSG00000238199.1",0,1,0,0,2,0,0,0
"ENSG00000284646.1",0,0,0,0,0,0,0,0
"ENSG00000224338.2",0,0,0,0,0,0,0,0
"ENSG00000204624.7",0,0,3,7,1,0,2,1
"ENSG00000285833.1",0,0,0,0,0,0,0,0
"ENSG00000235643.1",1,0,0,0,0,0,0,1
"ENSG00000284708.1",0,0,0,0,0,0,0,0
"ENSG00000116661.10",25,39,60,32,44,56,40,56
"ENSG00000132879.13",500,391,441,244,468,505,373,400
"ENSG00000116663.10",114,120,135,78,113,130,141,132
"ENSG00000116670.14",341,386,354,235,369,500,271,328
"ENSG00000162490.6",4,3,4,0,3,0,1,1
"ENSG00000177674.15",504,869,658,778,457,1233,427,1036
"ENSG00000215910.7",0,0,0,1,0,2,0,1
"ENSG00000177553.6",0,0,0,0,0,0,0,0
"ENSG00000177000.12",1326,1119,1426,724,1248,1118,1164,1254
"ENSG00000011021.22",760,644,674,425,717,899,628,769
"ENSG00000276470.1",0,0,0,0,0,0,0,0
"ENSG00000278852.1",0,0,0,0,0,0,0,0
"ENSG00000175206.10",2,2,3,1,2,0,2,2
"ENSG00000275915.1",0,0,0,0,0,0,0,0
"ENSG00000120937.8",0,0,0,0,0,0,0,0
"ENSG00000224904.1",0,0,0,0,0,0,0,0
"ENSG00000285646.1",1,1,0,0,1,1,1,2
"ENSG00000199347.1",0,0,0,0,0,0,0,0
"ENSG00000201801.1",0,0,0,0,0,0,0,0
"ENSG00000116685.15",1245,1109,1341,818,1243,1828,1040,1249
"ENSG00000083444.16",6547,4383,8089,4250,7099,9510,6142,5752
"ENSG00000116688.16",3018,2373,3386,1735,3316,3897,2413,2202
"ENSG00000270914.1",0,0,0,0,0,0,0,0
"ENSG00000116691.10",231,290,194,131,203,286,130,192
"ENSG00000202461.1",1,3,1,0,0,1,0,1
"ENSG00000276869.1",0,0,0,0,0,0,0,0
"ENSG00000243539.3",0,0,0,0,0,0,0,0
"ENSG00000120949.14",1,1,4,1,0,3,0,0
"ENSG00000201135.1",0,0,0,0,0,0,0,0
"ENSG00000227875.2",0,0,0,0,0,0,0,0
"ENSG00000285604.1",0,0,0,0,0,0,0,0
"ENSG00000283789.1",0,0,0,0,0,0,0,0
"ENSG00000028137.18",399,576,602,474,289,1008,337,547
"ENSG00000263676.1",0,0,0,0,0,0,0,0
"ENSG00000225196.2",0,0,0,0,0,0,0,0
"ENSG00000252969.1",0,0,0,0,0,0,0,0
"ENSG00000048707.15",2344,2883,3223,2889,2526,4668,2553,4541
"ENSG00000239149.1",5,3,2,6,7,7,1,9
"ENSG00000229484.1",0,1,0,0,0,0,0,0
"ENSG00000162496.8",1984,3975,3975,4940,1559,3231,2430,5798
"ENSG00000221340.1",5,5,10,7,2,3,2,12
"ENSG00000276830.1",1,3,2,2,1,1,1,1
"ENSG00000272482.1",34,57,86,72,18,35,53,73
"ENSG00000204518.2",3,9,8,7,0,3,5,14
"ENSG00000226166.2",0,0,0,0,0,0,0,0
"ENSG00000188984.11",0,0,0,0,0,0,0,0
"ENSG00000157330.9",1,0,1,0,0,0,0,0
"ENSG00000116726.4",1,4,0,0,0,0,0,0
"ENSG00000116721.9",0,10,0,0,0,0,0,0
"ENSG00000228338.1",0,0,0,0,0,0,0,0
"ENSG00000239810.3",0,1,0,0,0,0,0,0
"ENSG00000231103.2",0,0,0,0,0,0,0,0
"ENSG00000179172.9",1,0,0,1,0,3,1,2
"ENSG00000120952.4",0,12,0,0,0,0,0,0
"ENSG00000243073.3",0,0,0,0,0,0,0,0
"ENSG00000187545.5",0,0,0,0,0,0,0,0
"ENSG00000204510.5",0,14,0,0,0,1,0,0
"ENSG00000207434.1",0,0,0,0,0,0,0,0
"ENSG00000234064.1",0,1,0,0,0,0,0,0
"ENSG00000232423.6",0,3,0,0,0,0,0,0
"ENSG00000274178.2",0,6,0,0,0,0,0,0
"ENSG00000274764.5",0,0,0,0,0,0,0,0
"ENSG00000277058.2",0,0,0,0,1,0,0,1
"ENSG00000229571.7",0,2,0,0,0,0,0,0
"ENSG00000277862.1",0,7,0,0,0,0,0,0
"ENSG00000236179.1",0,0,0,0,0,0,0,0
"ENSG00000275774.2",0,0,0,0,0,1,3,1
"ENSG00000229978.1",0,7,0,0,0,0,0,0
"ENSG00000233336.1",0,0,0,0,0,0,0,0
"ENSG00000280267.4",0,2,0,0,0,0,0,0
"ENSG00000179412.10",0,0,0,0,0,0,0,1
"ENSG00000204505.4",0,0,0,0,0,0,0,0
"ENSG00000279169.2",0,6,0,0,0,0,0,0
"ENSG00000279804.2",0,0,0,0,0,0,0,0
"ENSG00000250894.1",0,0,0,0,0,0,0,0
"ENSG00000270601.4",0,2,0,0,0,0,0,0
"ENSG00000231219.1",0,1,0,0,0,0,0,0
"ENSG00000207511.1",0,0,0,0,0,0,0,0
"ENSG00000182330.10",0,22,0,0,0,1,0,0
"ENSG00000237700.2",0,0,0,0,0,0,0,0
"ENSG00000204501.7",1,1,0,0,0,0,0,0
"ENSG00000228229.2",0,0,0,0,0,0,0,0
"ENSG00000204481.7",0,2,0,0,0,0,0,0
"ENSG00000204480.8",0,0,0,0,0,0,0,0
"ENSG00000204479.4",0,0,0,0,0,0,0,0
"ENSG00000204478.9",0,2,0,0,0,0,0,0
"ENSG00000162494.5",0,0,0,0,0,0,0,0
"ENSG00000259961.1",0,0,0,0,0,0,0,0
"ENSG00000215909.3",0,0,0,0,0,0,0,0
"ENSG00000162493.16",891,2859,508,1120,216,974,358,1291
"ENSG00000222952.1",0,0,0,0,0,0,0,0
"ENSG00000237445.2",0,0,0,0,1,0,0,0
"ENSG00000253085.1",0,0,0,0,0,0,0,0
"ENSG00000116731.22",1115,1178,1408,900,1203,1620,980,1258
"ENSG00000189337.16",719,479,818,294,824,1000,704,731
"ENSG00000252151.1",0,0,0,0,0,0,0,0
